Geo,Year,TotEmp,RetEmp,SvcEmp
1611,2019,399.6897641,9.000178058,149.9954117
1612,2019,234.9019615,2.799067224,45.24255145
1613,2019,62.76114744,3.769364026,34.14797986
1614,2019,191.1294839,30.47116162,27.82042547
1615,2019,207.1134484,31.46450771,94.39961637
1616,2019,45.79817373,5.714394637,21.75763843
1617,2019,139.4577192,13.31749877,70.63061557
1618,2019,653.4628662,4.036496319,345.5533291
1619,2019,61.51699142,1.71033368,35.08303705
1620,2019,33.192639,0.953640046,19.04979364
1621,2019,110.4359838,0.375986383,27.9591774
1622,2019,77.68773629,4.336147791,42.76009825
1623,2019,119.0070472,1.929421403,112.131742
1624,2019,161.1533931,6.598205019,119.5887796
1625,2019,321.2056711,13.18167695,238.680339
1626,2019,238.5603814,1.761832854,62.59308764
1627,2019,1195.013032,114.1120836,754.1005155
1628.01,2019,213.954539,10.63873438,11.9212599
1628.02,2019,201.7844053,9.987423285,12.16174563
1628.03,2019,398.0607857,19.83039946,21.63592453
1629,2019,30.70429363,0.135899244,11.09584956
1630.01,2019,262.5473367,0.90187343,205.7837251
1630.02,2019,1072.233185,23.87249304,617.5924516
1631,2019,988.992823,21.31214238,557.9597944
1632.01,2019,470.0286018,0.718691922,351.6974023
1632.02,2019,1160.477745,2.734757414,852.7250511
1632.03,2019,1363.787876,396.1890101,605.0020922
1632.04,2019,1046.518303,368.972688,371.8723208
1633,2019,5202.338188,0.049273152,263.1240447
1634,2019,1055.499015,371.4846977,375.2268095
1635,2019,1168.993028,105.0901113,555.0236671
1636,2019,687.1583211,22.92797232,454.4692315
1637,2019,7140.466803,836.3686928,2128.252966
1638.01,2019,1267.381105,152.7880311,280.3688096
1638.02,2019,2263.798781,231.684038,846.8956214
1639.01,2019,679.2707324,0.972222749,374.0107933
1639.02,2019,931.8192875,0.962295488,513.4149972
1640,2019,1378.67038,24.4891864,1038.899878
1641,2019,1425.22953,25.62616355,1073.45234
1642,2019,4455.956349,1157.339481,2218.623064
1643,2019,320.7609346,16.19869196,163.5415782
1644,2019,893.2044776,5.542935379,809.9300459
1645,2019,2615.45805,486.2002717,1566.425757
1646,2019,2913.016825,105.1004199,2391.305287
1647.01,2019,967.9760198,118.5486769,416.3302747
1647.02,2019,210.7861258,41.05281299,75.63798359
1648,2019,856.2107229,70.18477912,571.5146939
1649,2019,1393.005488,212.0259951,200.4396813
1650,2019,5457.67841,359.3248965,4019.596805
1651,2019,141.5771744,3.494928526,57.16912512
1652.01,2019,651.9479409,452.6549956,166.7423232
1652.02,2019,1319.310023,720.208504,275.257748
1653,2019,240.5059803,93.18886835,70.65078006
1654.01,2019,137.8890625,3.289792961,52.59511991
1654.02,2019,120.9020508,2.976205769,45.8694218
1655,2019,392.312613,57.54393981,221.7056144
1656,2019,1039.256201,218.1340372,428.4319754
1657,2019,1028.84843,60.14704547,480.0573759
1658,2019,120.1990472,27.10997716,61.26110594
1659,2019,194.61671,0.254904894,127.3464826
1660,2019,379.9931619,228.8821142,85.88737829
1661,2019,198.7749708,9.693277881,167.730499
1662.01,2019,782.1922427,417.9839728,98.56625207
1662.02,2019,1308.664028,64.3396905,329.2252734
1662.03,2019,33.68336889,0.545801306,30.45084945
1663,2019,816.0983934,117.6811272,238.4568434
1664,2019,59.50705416,1.407882924,40.12727194
1665.01,2019,3809.158668,1657.267084,1242.982484
1665.02,2019,370.2033054,33.66354135,281.5240506
1666,2019,214.7572125,9.847880997,53.43343276
1667,2019,2335.420319,14.08132518,2113.733532
1668,2019,144.0669771,0.007818789,104.3853814
1669,2019,70.73950071,2.967031507,49.58761281
1670,2019,295.7267391,0.410979795,247.4099314
1671,2019,109.1225551,3.307725667,73.14827962
1672.01,2019,1088.551022,571.0887506,167.2650863
1672.02,2019,262.3891437,134.5421791,43.15424524
1673.01,2019,285.43621,8.973574475,164.0926824
1673.02,2019,798.0794323,12.22998457,475.1392617
1673.03,2019,1474.757645,20.28234449,879.8328016
1674,2019,878.577699,277.2721169,449.1708195
1675.01,2019,2345.29352,32.20011331,1399.483457
1675.02,2019,1060.535373,14.89586618,632.554491
1676.01,2019,722.904767,10.16601148,432.8065069
1676.02,2019,1585.502834,21.90322136,945.9505989
1676.03,2019,892.597493,12.12010797,532.7535622
1677,2019,455.877171,68.39234132,211.6048851
1678,2019,1682.751878,195.7229448,549.6538849
1679,2019,1716.372159,199.6506336,560.7060738
1680,2019,326.3242893,44.77852428,134.4266197
1681,2019,3389.266503,56.61249819,2472.16954
1682.01,2019,721.9657081,71.81149615,285.0005898
1682.02,2019,1188.182537,21.33286516,862.4812768
1683,2019,2240.539254,260.1921018,733.4771897
1684,2019,1689.464954,193.4505686,559.8947779
